,,,,,,
,XAU Curncy,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,Centered Weighted Moving Average
,5/2/17,1256.5,1257.89,1252.07,1256.76,1241.19714285714
,5/3/17,1256.76,1257.81,1236.03,1238.17,1235.6025
,5/4/17,1238.17,1241.37,1225.79,1228.16,1230.1175
,5/5/17,1228.16,1235.69,1226.21,1228.01,1225.78035714286
,5/8/17,1222.9,1236.63,1221.21,1226.23,1224.26678571429
,5/9/17,1226.22,1228.67,1214.39,1221.23,1224.73357142857
,5/10/17,1221.23,1225.74,1217.67,1219.1,1226.14571428571
,5/11/17,1219.1,1227.79,1216,1225.04,1229.06785714286
,5/12/17,1225.03,1231.82,1224.36,1228.43,1237.69035714286
,5/15/17,1228.43,1237.4,1227.02,1230.82,1241.48571428571
,5/16/17,1230.82,1239.19,1230.41,1237.24,1246.57321428571
,5/17/17,1237.48,1261.48,1236.55,1261.36,1251.52035714286
,5/18/17,1261.36,1265.08,1246.09,1247.07,1252.84392857143
,5/19/17,1246.83,1256.53,1246.4,1255.93,1255.23107142857
,5/22/17,1257.3,1262.68,1251.85,1260.63,1255.85642857143
,5/23/17,1260.65,1263.88,1250.56,1251.22,1258.59607142857
,5/24/17,1251.22,1259.17,1247.99,1258.73,1261.47785714286
,5/25/17,1258.73,1259.76,1253.93,1255.67,1262.35607142857
,5/26/17,1255.69,1269.55,1253.24,1266.76,1264.43607142857
,5/29/17,1268.43,1269.18,1265.12,1268.1,1265.48
,5/30/17,1266.92,1270.6,1259.48,1263.09,1269.3
,5/31/17,1263.09,1274.17,1259.68,1268.92,1272.5475
,6/1/17,1268.92,1270.4,1261.6,1265.96,1278.58071428571
,6/2/17,1265.94,1279.62,1259.18,1279.17,1281.81714285714
,6/5/17,1280.05,1283.51,1277.84,1279.8,1282.08821428571
,6/6/17,1279.8,1296.15,1279.54,1294.39,1279.01392857143
,6/7/17,1294.39,1295.22,1282.76,1287.15,1275.87178571429
,6/8/17,1287.15,1289.02,1271.43,1278.01,1272.81428571429
,6/9/17,1278.01,1282.1,1264.73,1266.76,1268.785
,6/12/17,1267.46,1270.41,1263.71,1266.18,1263.71214285714
,6/13/17,1266.2,1269.03,1259.36,1266.55,1260.02
,6/14/17,1266.55,1280.77,1257.28,1260.86,1255.04892857143
,6/15/17,1260.86,1266.69,1251.58,1253.98,1251.09071428571
,6/16/17,1253.98,1257.23,1251.89,1253.73,1248.84821428571
