,,,,,,
,Start Date,1/25/00,,,,
,End Date,,,,,
,,,,,,
,SPX Index,,,,,
,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,
,5/10/28,20.21,20.21,20.21,20.21,20.3457142857143
,5/11/28,20.36,20.36,20.36,20.36,20.2753571428571
,5/14/28,20.44,20.44,20.44,20.44,20.2353571428571
,5/15/28,20.39,20.39,20.39,20.39,20.1507142857143
,5/16/28,20.05,20.05,20.05,20.05,20.005
,5/17/28,20.12,20.12,20.12,20.12,19.8125
,5/18/28,19.92,19.92,19.92,19.92,19.7532142857143
,5/21/28,19.63,19.63,19.63,19.63,19.7485714285714
,5/22/28,19.36,19.36,19.36,19.36,19.77
,5/23/28,19.75,19.75,19.75,19.75,19.7142857142857
,5/24/28,19.87,19.87,19.87,19.87,19.7407142857143
,5/25/28,19.9,19.9,19.9,19.9,19.8157142857143
,5/28/28,19.57,19.57,19.57,19.57,19.895
,5/29/28,19.82,19.82,19.82,19.82,19.8814285714286
,5/31/28,20,20,20,20,19.8785714285714
,6/1/28,20.07,20.07,20.07,20.07,19.8289285714286
,6/4/28,19.8,19.8,19.8,19.8,19.7753571428571
,6/5/28,19.85,19.85,19.85,19.85,19.6603571428571
,6/6/28,19.66,19.66,19.66,19.66,19.3889285714286
,6/7/28,19.61,19.61,19.61,19.61,19.0796428571429
,6/8/28,19.37,19.37,19.37,19.37,18.9696428571429
,6/11/28,18.68,18.68,18.68,18.68,18.9321428571429
,6/12/28,18.34,18.34,18.34,18.34,18.8457142857143
,6/13/28,18.89,18.89,18.89,18.89,18.7071428571429
,6/14/28,19.05,19.05,19.05,19.05,18.5967857142857
,6/15/28,18.74,18.74,18.74,18.74,18.5807142857143
,6/18/28,18.4,18.4,18.4,18.4,18.5660714285714
,6/19/28,18.34,18.34,18.34,18.34,18.5385714285714
,6/20/28,18.57,18.57,18.57,18.57,18.5060714285714
,6/21/28,18.56,18.56,18.56,18.56,18.5467857142857
,6/22/28,18.54,18.54,18.54,18.54,18.6346428571429
,6/25/28,18.47,18.47,18.47,18.47,18.7585714285714
,6/26/28,18.68,18.68,18.68,18.68,18.8739285714286
,6/27/28,18.86,18.86,18.86,18.86,18.9289285714286
,6/28/28,19.07,19.07,19.07,19.07,19.0464285714286
,6/29/28,19.14,19.14,19.14,19.14,19.1846428571429
,7/2/28,18.98,18.98,18.98,18.98,19.2642857142857
,7/3/28,19.29,19.29,19.29,19.29,19.3360714285714
,7/5/28,19.48,19.48,19.48,19.48,19.3789285714286
,7/6/28,19.39,19.39,19.39,19.39,19.2889285714286
,7/9/28,19.46,19.46,19.46,19.46,19.1707142857143
,7/10/28,19.43,19.43,19.43,19.43,19.0960714285714
,7/11/28,18.95,18.95,18.95,18.95,18.9682142857143
,7/12/28,18.81,18.81,18.81,18.81,18.8932142857143
,7/13/28,18.96,18.96,18.96,18.96,18.8967857142857
,7/16/28,18.7,18.7,18.7,18.7,18.9057142857143
,7/17/28,18.8,18.8,18.8,18.8,18.9403571428571
,7/18/28,19.03,19.03,19.03,19.03,18.9946428571429
,7/19/28,18.99,18.99,18.99,18.99,19.0303571428571
,7/20/28,19.03,19.03,19.03,19.03,19.0889285714286
,7/23/28,19.12,19.12,19.12,19.12,19.1396428571429
,7/24/28,19.09,19.09,19.09,19.09,19.2196428571429
,7/25/28,19.2,19.2,19.2,19.2,19.2982142857143
,7/26/28,19.24,19.24,19.24,19.24,19.3496428571429
,7/27/28,19.42,19.42,19.42,19.42,19.3842857142857
,7/30/28,19.47,19.47,19.47,19.47,19.3857142857143
,7/31/28,19.43,19.43,19.43,19.43,19.3860714285714
,8/1/28,19.42,19.42,19.42,19.42,19.4357142857143
,8/2/28,19.33,19.33,19.33,19.33,19.4507142857143
,8/3/28,19.36,19.36,19.36,19.36,19.4032142857143
,8/6/28,19.58,19.58,19.58,19.58,19.3760714285714
,8/7/28,19.49,19.49,19.49,19.49,19.3410714285714
,8/8/28,19.25,19.25,19.25,19.25,19.3221428571429
,8/9/28,19.3,19.3,19.3,19.3,19.2646428571429
,8/10/28,19.25,19.25,19.25,19.25,19.3003571428571
,8/13/28,19.29,19.29,19.29,19.29,19.375
,8/14/28,19.13,19.13,19.13,19.13,19.4528571428571
,8/15/28,19.47,19.47,19.47,19.47,19.5492857142857
,8/16/28,19.61,19.61,19.61,19.61,19.6914285714286
,8/17/28,19.64,19.64,19.64,19.64,19.8010714285714
,8/20/28,19.77,19.77,19.77,19.77,19.8903571428571
,8/21/28,20.02,20.02,20.02,20.02,20.0278571428571
,8/22/28,20,20,20,20,20.1442857142857
,8/23/28,20.02,20.02,20.02,20.02,20.2732142857143
,8/24/28,20.34,20.34,20.34,20.34,20.38
,8/27/28,20.38,20.38,20.38,20.38,20.4653571428571
,8/28/28,20.54,20.54,20.54,20.54,20.5946428571429
,8/29/28,20.58,20.58,20.58,20.58,20.7178571428571
,8/30/28,20.61,20.61,20.61,20.61,20.8321428571429
,8/31/28,20.87,20.87,20.87,20.87,20.8878571428571
,9/4/28,20.97,20.97,20.97,20.97,20.9610714285714
,9/5/28,21.07,21.07,21.07,21.07,20.9721428571429
,9/6/28,20.94,20.94,20.94,20.94,21.0110714285714
,9/7/28,21.09,21.09,21.09,21.09,21.0532142857143
,9/10/28,20.92,20.92,20.92,20.92,21.08
,9/11/28,21.08,21.08,21.08,21.08,21.1007142857143
,9/12/28,21.16,21.16,21.16,21.16,21.1664285714286
,9/13/28,21.14,21.14,21.14,21.14,21.1807142857143
,9/14/28,21.14,21.14,21.14,21.14,21.1917857142857
,9/17/28,21.33,21.33,21.33,21.33,21.2035714285714
,9/18/28,21.18,21.18,21.18,21.18,21.2453571428571
,9/19/28,21.18,21.18,21.18,21.18,21.2975
,9/20/28,21.22,21.22,21.22,21.22,21.3342857142857
,9/21/28,21.36,21.36,21.36,21.36,21.3589285714286
,9/24/28,21.43,21.43,21.43,21.43,21.3135714285714
,9/25/28,21.41,21.41,21.41,21.41,21.2725
,9/26/28,21.4,21.4,21.4,21.4,21.2878571428571
,9/27/28,21.13,21.13,21.13,21.13,21.2732142857143
,9/28/28,21.14,21.14,21.14,21.14,21.2446428571429
,10/1/28,21.36,21.36,21.36,21.36,21.2421428571429
,10/2/28,21.26,21.26,21.26,21.26,21.235
,10/3/28,21.19,21.19,21.19,21.19,21.2067857142857
,10/4/28,21.26,21.26,21.26,21.26,21.1967857142857
,10/5/28,21.22,21.22,21.22,21.22,21.2428571428571
,10/8/28,21.11,21.11,21.11,21.11,21.3121428571429
,10/9/28,21.18,21.18,21.18,21.18,21.4075
,10/10/28,21.41,21.41,21.41,21.41,21.5039285714286
,10/11/28,21.51,21.51,21.51,21.51,21.6014285714286
,10/15/28,21.65,21.65,21.65,21.65,21.6910714285714
,10/16/28,21.72,21.72,21.72,21.72,21.7846428571429
,10/17/28,21.79,21.79,21.79,21.79,21.8128571428571
,10/18/28,21.84,21.84,21.84,21.84,21.8617857142857
,10/19/28,21.96,21.96,21.96,21.96,21.905
,10/22/28,21.81,21.81,21.81,21.81,21.9160714285714
,10/23/28,21.95,21.95,21.95,21.95,21.8553571428571
,10/24/28,21.99,21.99,21.99,21.99,21.8871428571429
,10/25/28,21.91,21.91,21.91,21.91,21.8532142857143
,10/26/28,21.65,21.65,21.65,21.65,21.8064285714286
,10/29/28,22,22,22,22,21.8417857142857
,10/30/28,21.76,21.76,21.76,21.76,21.8657142857143
,10/31/28,21.68,21.68,21.68,21.68,21.9635714285714
,11/1/28,21.99,21.99,21.99,21.99,22.1146428571429
,11/2/28,21.95,21.95,21.95,21.95,22.2078571428571
,11/5/28,22.24,22.24,22.24,22.24,22.3271428571429
,11/6/28,22.5,22.5,22.5,22.5,22.4907142857143
,11/8/28,22.39,22.39,22.39,22.39,22.6303571428571
,11/9/28,22.55,22.55,22.55,22.55,22.7371428571429
,11/12/28,22.84,22.84,22.84,22.84,22.8396428571429
,11/13/28,22.91,22.91,22.91,22.91,22.9989285714286
,11/14/28,22.91,22.91,22.91,22.91,23.1271428571429
,11/15/28,23.03,23.03,23.03,23.03,23.2703571428571
,11/16/28,23.37,23.37,23.37,23.37,23.2896428571429
,11/19/28,23.37,23.37,23.37,23.37,23.3703571428571
,11/20/28,23.57,23.57,23.57,23.57,23.4742857142857
,11/21/28,23.22,23.22,23.22,23.22,23.575
,11/22/28,23.52,23.52,23.52,23.52,23.6757142857143
,11/23/28,23.7,23.7,23.7,23.7,23.8271428571429
,11/26/28,23.8,23.8,23.8,23.8,23.9717857142857
,11/27/28,23.91,23.91,23.91,23.91,23.9835714285714
,11/28/28,24.19,24.19,24.19,24.19,23.9878571428571
,11/30/28,24.28,24.28,24.28,24.28,23.9532142857143
,12/3/28,23.85,23.85,23.85,23.85,23.6896428571429
,12/4/28,23.91,23.91,23.91,23.91,23.3203571428571
,12/5/28,23.81,23.81,23.81,23.81,22.9939285714286
,12/6/28,22.91,22.91,22.91,22.91,22.8421428571429
,12/7/28,22.36,22.36,22.36,22.36,22.6903571428571
,12/10/28,22.31,22.31,22.31,22.31,22.5760714285714
,12/11/28,22.74,22.74,22.74,22.74,22.5253571428571
,12/12/28,22.52,22.52,22.52,22.52,22.4978571428571
,12/13/28,22.48,22.48,22.48,22.48,22.5521428571429
,12/14/28,22.53,22.53,22.53,22.53,22.6642857142857
,12/17/28,22.44,22.44,22.44,22.44,22.775
,12/18/28,22.7,22.7,22.7,22.7,22.9389285714286
,12/19/28,22.98,22.98,22.98,22.98,23.1264285714286
,12/20/28,23.07,23.07,23.07,23.07,23.2510714285714
,12/21/28,23.33,23.33,23.33,23.33,23.3932142857143
,12/24/28,23.54,23.54,23.54,23.54,23.5775
,12/26/28,23.44,23.44,23.44,23.44,23.8085714285714
,12/27/28,23.64,23.64,23.64,23.64,24.1057142857143
,12/28/28,23.98,23.98,23.98,23.98,24.3532142857143
,12/31/28,24.35,24.35,24.35,24.35,24.5435714285714
,1/2/29,24.81,24.81,24.81,24.81,24.5371428571429
,1/3/29,24.86,24.86,24.86,24.86,24.4817857142857
,1/4/29,24.85,24.85,24.85,24.85,24.5
,1/7/29,24.25,24.25,24.25,24.25,24.5082142857143
,1/8/29,24.17,24.17,24.17,24.17,24.4982142857143
,1/9/29,24.54,24.54,24.54,24.54,24.5103571428571
,1/10/29,24.58,24.58,24.58,24.58,24.4421428571429
,1/11/29,24.54,24.54,24.54,24.54,24.4785714285714
,1/14/29,24.59,24.59,24.59,24.59,24.5364285714286
,1/15/29,24.23,24.23,24.23,24.23,24.5957142857143
,1/16/29,24.56,24.56,24.56,24.56,24.6692857142857
,1/17/29,24.69,24.69,24.69,24.69,24.7853571428571
,1/18/29,24.77,24.77,24.77,24.77,24.92
,1/21/29,24.86,24.86,24.86,24.86,24.9921428571429
,1/22/29,25.07,25.07,25.07,25.07,25.1396428571429
,1/23/29,25.22,25.22,25.22,25.22,25.2217857142857
