Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
03/03/2004,1101.68,1111.97,1101.68,1110.91,1102.0085714286
04/03/2004,1110.77,1111.04,1107.85,1108.26,1100.2889285714
07/03/2004,1105.37,1107.98,1097.11,1098.96,1098.6675
08/03/2004,1099.18,1099.91,1095.85,1096.46,1097.5775
09/03/2004,1096.46,1097.93,1094.8,1095.19,1097.5532142857
10/03/2004,1094.99,1096.32,1094.33,1095.13,1098.0575
11/03/2004,1095.13,1097.11,1095.13,1096.47,1096.7253571429
14/03/2004,1097.29,1100.37,1097.29,1100.1,1095.6807142857
15/03/2004,1100.35,1103.6,1098.63,1100.67,1095.05
16/03/2004,1133.34,1133.34,1091.97,1092.24,1090.4092857143
17/03/2004,1086.25,1092.54,1084.64,1092.43,1085.5503571429
18/03/2004,1092.66,1093.99,1092.05,1093.51,1080.9010714286
21/03/2004,1096.92,1097.75,1073.69,1077.23,1075.7942857143
22/03/2004,1078.06,1078.06,1071.88,1073.8,1073.0871428572
23/03/2004,1073.8,1074.12,1070.34,1071.4,1072.2303571429
24/03/2004,1071.4,1072.02,1065.47,1065.47,1077.2096428572
25/03/2004,1064.43,1070.25,1061.91,1070.04,1084.66
28/03/2004,1067.8,1076.69,1067.8,1074.27,1093.5117857143
29/03/2004,1075.32,1098.23,1074.95,1095.02,1103.885
30/03/2004,1098.58,1109.22,1098.58,1105.12,1113.0628571429
31/03/2004,1105.33,1120.26,1103.87,1114.71,1118.5425
01/04/2004,1115.13,1129.41,1114.17,1126.64,1126.705
04/04/2004,1129.24,1135.02,1128.95,1129.75,1132.1771428572
05/04/2004,1129.54,1131.23,1123.3,1124.14,1137.8607142857
06/04/2004,1124.35,1142.8,1123.93,1142.6,1144.1360714286
07/04/2004,1142.81,1142.81,1134.49,1141.6,1148.2642857143
08/04/2004,1144.27,1149.1,1143.46,1149.1,1155.0060714286
11/04/2004,1148.56,1158.17,1148.56,1157.75,1167.3653571429
12/04/2004,1158.38,1159.64,1153.75,1155.31,1179.3571428572
13/04/2004,1155.73,1172.08,1155.73,1169.86,1203.3160714286
14/04/2004,1177.26,1198.2,1176.89,1198.06,1224.935
15/04/2004,1205.45,1215.97,1205.45,1207.15,1242.0228571429
18/04/2004,1256.44,1282.44,1253.13,1264.24,1252.0492857143
19/04/2004,1264.44,1275.94,1264.44,1272.4,1257.8435714286
20/04/2004,1272.61,1288.44,1271.89,1271.89,1258.9760714286
21/04/2004,1272.1,1275.34,1259.74,1259.95,1254.5703571429
22/04/2004,1229.21,1262.55,1212.48,1257.97,1245.785
25/04/2004,1250.53,1253.89,1235.31,1251.91,1236.2025
26/04/2004,1252.63,1254.03,1235.73,1237.45,1228.4921428572
27/04/2004,1238.9,1238.99,1216.99,1224.26,1223.6517857143
28/04/2004,1223.79,1226.07,1214.3,1215.36,1222.1767857143
29/04/2004,1216.56,1219.14,1212.76,1214.7,1224.0921428572
02/05/2004,1215.52,1221.12,1215.52,1218.01,1228.5878571429
03/05/2004,1218.42,1226.92,1214.04,1225.48,1232.2232142857
04/05/2004,1225.48,1235.67,1225.48,1234.4,1233.4457142857
05/05/2004,1236.57,1242.22,1234.77,1242.22,1233.5496428572
06/05/2004,1245.1,1245.43,1239.46,1239.46,1233.5364285714
09/05/2004,1237.35,1237.35,1227.47,1231.98,1233.7660714286
10/05/2004,1232.6,1234,1228.65,1229.88,1235.2214285714
11/05/2004,1231.32,1236.93,1231.32,1231.58,1242.84
12/05/2004,1231.78,1236.04,1231.47,1234.49,1250.4935714286
13/05/2004,1239.8,1242.1,1235.85,1240.68,1261.0535714286
16/05/2004,1276.64,1276.64,1262.69,1266.23,1270.3553571429
17/05/2004,1270.45,1282.07,1269.07,1269.8,1278.0592857143
18/05/2004,1273.76,1285.8,1272.41,1285.76,1281.7657142857
19/05/2004,1287.2,1289.55,1286.27,1288.41,1283.8846428572
20/05/2004,1288.55,1293.55,1283.6,1290.38,1283.5775
23/05/2004,1290.19,1291.55,1282.79,1282.79,1282.2907142857
24/05/2004,1282.79,1287.35,1279.99,1283.34,1280.2178571429
25/05/2004,1283.23,1283.78,1277.56,1279.73,1278.6882142857
26/05/2004,1279.53,1279.53,1275.7,1277.74,1285.0975
27/05/2004,1275.43,1280.19,1275.43,1275.73,1289.7828571429
30/05/2004,1276.92,1278.62,1274.76,1276.47,1294.5471428572
31/05/2004,1294.5,1315.78,1294.5,1306.52,1300.4785714286
01/06/2004,1306.52,1311.12,1301.22,1301.93,1310.4060714286
02/06/2004,1301.57,1308.03,1300.84,1304.98,1319.2667857143
03/06/2004,1304.98,1314.34,1304.98,1312.74,1326.6396428572
06/06/2004,1327,1335.27,1325.78,1333.44,1332.6403571429
07/06/2004,1333.64,1342.14,1333.44,1337.13,1341.7167857143
08/06/2004,1337.74,1339.95,1335.07,1339.95,1373.0742857143
