Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
21/04/75 00:00,1.3439,1.3439,1.3439,1.3439,1.3495464286
22/04/75 00:00,1.3464,1.3464,1.3464,1.3464,1.3496
23/04/75 00:00,1.3552,1.3552,1.3552,1.3552,1.3487607143
24/04/75 00:00,1.3536,1.3536,1.3536,1.3536,1.3492607143
25/04/75 00:00,1.3481,1.3481,1.3481,1.3481,1.3501535714
28/04/75 00:00,1.345,1.345,1.345,1.345,1.3508642857
29/04/75 00:00,1.3503,1.3503,1.3503,1.3503,1.3506892857
30/04/75 00:00,1.3525,1.3525,1.3525,1.3525,1.3519357143
01/05/75 00:00,1.353,1.353,1.353,1.353,1.3534428571
02/05/75 00:00,1.3504,1.3504,1.3504,1.3504,1.3557928571
05/05/75 00:00,1.3554,1.3554,1.3554,1.3554,1.3592857143
06/05/75 00:00,1.3567,1.3567,1.3567,1.3567,1.3612892857
07/05/75 00:00,1.3613,1.3613,1.3613,1.3613,1.3626785714
08/05/75 00:00,1.3682,1.3682,1.3682,1.3682,1.3665214286
09/05/75 00:00,1.3648,1.3648,1.3648,1.3648,1.3686678571
12/05/75 00:00,1.3641,1.3641,1.3641,1.3641,1.3675857143
13/05/75 00:00,1.3755,1.3755,1.3755,1.3755,1.3669464286
14/05/75 00:00,1.3723,1.3723,1.3723,1.3723,1.367125
15/05/75 00:00,1.3618,1.3618,1.3618,1.3618,1.3672107143
16/05/75 00:00,1.3643,1.3643,1.3643,1.3643,1.3690714286
19/05/75 00:00,1.368,1.368,1.368,1.368,1.3714142857
20/05/75 00:00,1.3676,1.3676,1.3676,1.3676,1.3733964286
21/05/75 00:00,1.3751,1.3751,1.3751,1.3751,1.3753892857
22/05/75 00:00,1.3786,1.3786,1.3786,1.3786,1.3769642857
23/05/75 00:00,1.3776,1.3776,1.3776,1.3776,1.3769357143
27/05/75 00:00,1.3784,1.3784,1.3784,1.3784,1.3756642857
28/05/75 00:00,1.3791,1.3791,1.3791,1.3791,1.3744285714
29/05/75 00:00,1.3748,1.3748,1.3748,1.3748,1.37465
30/05/75 00:00,1.3708,1.3708,1.3708,1.3708,1.3743142857
02/06/75 00:00,1.3714,1.3714,1.3714,1.3714,1.3742
03/06/75 00:00,1.3767,1.3767,1.3767,1.3767,1.3738464286
04/06/75 00:00,1.3742,1.3742,1.3742,1.3742,1.3732321429
05/06/75 00:00,1.3746,1.3746,1.3746,1.3746,1.3732964286
06/06/75 00:00,1.3731,1.3731,1.3731,1.3731,1.3740428571
09/06/75 00:00,1.3712,1.3712,1.3712,1.3712,1.3748321429
10/06/75 00:00,1.3734,1.3734,1.3734,1.3734,1.3751714286
11/06/75 00:00,1.3765,1.3765,1.3765,1.3765,1.3759821429
12/06/75 00:00,1.3774,1.3774,1.3774,1.3774,1.3769535714
13/06/75 00:00,1.3757,1.3757,1.3757,1.3757,1.3768178571
16/06/75 00:00,1.3778,1.3778,1.3778,1.3778,1.3762107143
