Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
01/06/1928,20.07,20.07,20.07,20.07,19.8289285714
04/06/1928,19.8,19.8,19.8,19.8,19.7753571429
05/06/1928,19.85,19.85,19.85,19.85,19.6603571429
06/06/1928,19.66,19.66,19.66,19.66,19.3889285714
07/06/1928,19.61,19.61,19.61,19.61,19.0796428571
08/06/1928,19.37,19.37,19.37,19.37,18.9696428571
11/06/1928,18.68,18.68,18.68,18.68,18.9321428571
12/06/1928,18.34,18.34,18.34,18.34,18.8457142857
13/06/1928,18.89,18.89,18.89,18.89,18.7071428571
14/06/1928,19.05,19.05,19.05,19.05,18.5967857143
15/06/1928,18.74,18.74,18.74,18.74,18.5807142857
18/06/1928,18.4,18.4,18.4,18.4,18.5660714286
19/06/1928,18.34,18.34,18.34,18.34,18.5385714286
20/06/1928,18.57,18.57,18.57,18.57,18.5060714286
21/06/1928,18.56,18.56,18.56,18.56,18.5467857143
22/06/1928,18.54,18.54,18.54,18.54,18.6346428571
25/06/1928,18.47,18.47,18.47,18.47,18.7585714286
26/06/1928,18.68,18.68,18.68,18.68,18.8739285714
27/06/1928,18.86,18.86,18.86,18.86,18.9289285714
28/06/1928,19.07,19.07,19.07,19.07,19.0464285714
29/06/1928,19.14,19.14,19.14,19.14,19.1846428571
02/07/1928,18.98,18.98,18.98,18.98,19.2642857143
03/07/1928,19.29,19.29,19.29,19.29,19.3360714286
05/07/1928,19.48,19.48,19.48,19.48,19.3789285714
06/07/1928,19.39,19.39,19.39,19.39,19.2889285714
09/07/1928,19.46,19.46,19.46,19.46,19.1707142857
10/07/1928,19.43,19.43,19.43,19.43,19.0960714286
11/07/1928,18.95,18.95,18.95,18.95,18.9682142857
12/07/1928,18.81,18.81,18.81,18.81,18.8932142857
13/07/1928,18.96,18.96,18.96,18.96,18.8967857143
16/07/1928,18.7,18.7,18.7,18.7,18.9057142857
17/07/1928,18.8,18.8,18.8,18.8,18.9403571429
18/07/1928,19.03,19.03,19.03,19.03,18.9946428571
19/07/1928,18.99,18.99,18.99,18.99,19.0303571429
20/07/1928,19.03,19.03,19.03,19.03,19.0889285714
23/07/1928,19.12,19.12,19.12,19.12,19.1396428571
24/07/1928,19.09,19.09,19.09,19.09,19.2196428571
25/07/1928,19.2,19.2,19.2,19.2,19.2982142857
26/07/1928,19.24,19.24,19.24,19.24,19.3496428571
27/07/1928,19.42,19.42,19.42,19.42,19.3842857143
30/07/1928,19.47,19.47,19.47,19.47,19.3857142857
31/07/1928,19.43,19.43,19.43,19.43,19.3860714286
01/08/1928,19.42,19.42,19.42,19.42,19.4357142857
02/08/1928,19.33,19.33,19.33,19.33,19.4507142857
03/08/1928,19.36,19.36,19.36,19.36,19.4032142857
06/08/1928,19.58,19.58,19.58,19.58,19.3760714286
07/08/1928,19.49,19.49,19.49,19.49,19.3410714286
08/08/1928,19.25,19.25,19.25,19.25,19.3221428571
09/08/1928,19.3,19.3,19.3,19.3,19.2646428571
10/08/1928,19.25,19.25,19.25,19.25,19.3003571429
13/08/1928,19.29,19.29,19.29,19.29,19.375
14/08/1928,19.13,19.13,19.13,19.13,19.4528571429
15/08/1928,19.47,19.47,19.47,19.47,19.5492857143
16/08/1928,19.61,19.61,19.61,19.61,19.6914285714
17/08/1928,19.64,19.64,19.64,19.64,19.8010714286
20/08/1928,19.77,19.77,19.77,19.77,19.8903571429
21/08/1928,20.02,20.02,20.02,20.02,20.0278571429
22/08/1928,20,20,20,20,20.1442857143
23/08/1928,20.02,20.02,20.02,20.02,20.2732142857
24/08/1928,20.34,20.34,20.34,20.34,20.38
27/08/1928,20.38,20.38,20.38,20.38,20.4653571429
28/08/1928,20.54,20.54,20.54,20.54,20.5946428571
29/08/1928,20.58,20.58,20.58,20.58,20.7178571429
30/08/1928,20.61,20.61,20.61,20.61,20.8321428571
31/08/1928,20.87,20.87,20.87,20.87,20.8878571429
04/09/1928,20.97,20.97,20.97,20.97,20.9610714286
05/09/1928,21.07,21.07,21.07,21.07,20.9721428571
