Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
26/03/1900,64.06,64.06,64.06,64.06,64.3646428571429
27/03/1900,64.71,64.71,64.71,64.71,64.6489285714286
28/03/1900,65.12,65.12,65.12,65.12,64.9264285714286
29/03/1900,64.07,64.07,64.07,64.07,65.0557142857143
30/03/1900,65.39,65.39,65.39,65.39,65.1164285714286
02/04/1900,65.55,65.55,65.55,65.55,65.2296428571429
03/04/1900,65.17,65.17,65.17,65.17,65.4857142857143
04/04/1900,65.11,65.11,65.11,65.11,65.5325
05/04/1900,65.47,65.47,65.47,65.47,65.3021428571428
06/04/1900,66.15,66.15,66.15,66.15,65.1592857142857
09/04/1900,65.46,65.46,65.46,65.46,64.9489285714286
10/04/1900,64.55,64.55,64.55,64.55,64.0535714285714
11/04/1900,64.78,64.78,64.78,64.78,63.3478571428572
12/04/1900,64.4,64.4,64.4,64.4,62.7782142857143
16/04/1900,61.55,61.55,61.55,61.55,62.5032142857143
17/04/1900,61.8,61.8,61.8,61.8,62.2932142857143
18/04/1900,61.82,61.82,61.82,61.82,61.9146428571429
19/04/1900,62.38,62.38,62.38,62.38,61.7892857142857
20/04/1900,62.2,62.2,62.2,62.2,61.8107142857143
23/04/1900,61.19,61.19,61.19,61.19,62.11
24/04/1900,61.69,61.69,61.69,61.69,62.1646428571429
25/04/1900,61.89,61.89,61.89,61.89,61.9739285714286
26/04/1900,63.05,63.05,63.05,63.05,61.8182142857143
27/04/1900,62.25,62.25,62.25,62.25,61.6264285714286
30/04/1900,61.33,61.33,61.33,61.33,61.4321428571429
01/05/1900,61.32,61.32,61.32,61.32,61.3017857142857
02/05/1900,61.05,61.05,61.05,61.05,61.0567857142857
03/05/1900,61.02,61.02,61.02,61.02,60.5585714285714
04/05/1900,61.18,61.18,61.18,61.18,60.3371428571429
07/05/1900,60.62,60.62,60.62,60.62,60.2053571428571
08/05/1900,59.26,59.26,59.26,59.26,59.7471428571429
09/05/1900,59.94,59.94,59.94,59.94,59.1082142857143
10/05/1900,60.1,60.1,60.1,60.1,58.3607142857143
11/05/1900,58.62,58.62,58.62,58.62,57.9010714285714
14/05/1900,57.55,57.55,57.55,57.55,57.4764285714286
15/05/1900,56.62,56.62,56.62,56.62,57.3910714285714
16/05/1900,57.12,57.12,57.12,57.12,57.2935714285714
17/05/1900,56.76,56.76,56.76,56.76,57.4675
18/05/1900,57.76,57.76,57.76,57.76,57.7225
21/05/1900,57.4,57.4,57.4,57.4,57.7389285714286
22/05/1900,58.1,58.1,58.1,58.1,57.6610714285714
23/05/1900,58.35,58.35,58.35,58.35,57.6807142857143
24/05/1900,57.51,57.51,57.51,57.51,57.7528571428571
25/05/1900,57.26,57.26,57.26,57.26,58.0885714285714
28/05/1900,57.67,57.67,57.67,57.67,58.4335714285714
29/05/1900,58.01,58.01,58.01,58.01,58.3803571428571
31/05/1900,59.1,59.1,59.1,59.1,58.2182142857143
01/06/1900,59.38,59.38,59.38,59.38,57.9321428571429
04/06/1900,57.97,57.97,57.97,57.97,57.8010714285714
05/06/1900,57.48,57.48,57.48,57.48,57.4389285714286
06/06/1900,56.98,56.98,56.98,56.98,56.9789285714286
07/06/1900,57.56,57.56,57.56,57.56,56.6585714285714
08/06/1900,56.62,56.62,56.62,56.62,56.6960714285714
11/06/1900,56.03,56.03,56.03,56.03,56.6114285714286
12/06/1900,56.15,56.15,56.15,56.15,56.4764285714286
13/06/1900,57.12,57.12,57.12,57.12,56.0678571428571
14/06/1900,56.51,56.51,56.51,56.51,55.7821428571429
15/06/1900,56.17,56.17,56.17,56.17,55.3789285714286
18/06/1900,54.96,54.96,54.96,54.96,55.0992857142857
19/06/1900,55.08,55.08,55.08,55.08,54.7382142857143
20/06/1900,54.39,54.39,54.39,54.39,54.3771428571429
21/06/1900,54.65,54.65,54.65,54.65,54.1971428571429
22/06/1900,54.11,54.11,54.11,54.11,54.1221428571429
25/06/1900,53.68,53.68,53.68,53.68,54.2375
26/06/1900,54,54,54,54,54.3846428571429
27/06/1900,54.11,54.11,54.11,54.11,54.6785714285714
28/06/1900,54.75,54.75,54.75,54.75,54.9903571428571
29/06/1900,54.83,54.83,54.83,54.83,55.4564285714286
02/07/1900,55.48,55.48,55.48,55.48,55.7264285714286
03/07/1900,55.67,55.67,55.67,55.67,55.8278571428572
05/07/1900,56.51,56.51,56.51,56.51,56.1578571428572
06/07/1900,56.13,56.13,56.13,56.13,56.3757142857143
09/07/1900,55.76,55.76,55.76,55.76,56.5092857142857
10/07/1900,56.91,56.91,56.91,56.91,56.4164285714286
11/07/1900,56.77,56.77,56.77,56.77,56.3725
12/07/1900,56.71,56.71,56.71,56.71,56.4714285714286
13/07/1900,55.98,55.98,55.98,55.98,56.5132142857143
16/07/1900,56.22,56.22,56.22,56.22,56.6896428571429
17/07/1900,56.75,56.75,56.75,56.75,57.1232142857143
18/07/1900,56.61,56.61,56.61,56.61,57.6678571428572
19/07/1900,57.27,57.27,57.27,57.27,57.9625
20/07/1900,58.35,58.35,58.35,58.35,58.13
23/07/1900,59.02,59.02,59.02,59.02,58.165
24/07/1900,58.35,58.35,58.35,58.35,58.1828571428571
25/07/1900,58.18,58.18,58.18,58.18,57.925
26/07/1900,57.93,57.93,57.93,57.93,57.5896428571429
27/07/1900,58.03,58.03,58.03,58.03,57.3746428571429
30/07/1900,57.13,57.13,57.13,57.13,57.2671428571429
31/07/1900,56.8,56.8,56.8,56.8,57.2203571428572
01/08/1900,57.06,57.06,57.06,57.06,57.2753571428571
02/08/1900,57.21,57.21,57.21,57.21,57.3782142857143
03/08/1900,57.29,57.29,57.29,57.29,57.535
06/08/1900,57.57,57.57,57.57,57.57,57.63
07/08/1900,57.71,57.71,57.71,57.71,57.7564285714286
08/08/1900,57.88,57.88,57.88,57.88,57.9742857142857
09/08/1900,57.74,57.74,57.74,57.74,58.2135714285714
10/08/1900,58,58,58,58,58.4325
13/08/1900,58.5,58.5,58.5,58.5,58.5939285714286
14/08/1900,58.77,58.77,58.77,58.77,58.7092857142857
15/08/1900,58.9,58.9,58.9,58.9,58.7803571428571
16/08/1900,58.86,58.86,58.86,58.86,58.7510714285714
17/08/1900,58.84,58.84,58.84,58.84,58.7271428571429
20/08/1900,58.8,58.8,58.8,58.8,58.6403571428571
21/08/1900,58.55,58.55,58.55,58.55,58.5360714285714
22/08/1900,58.65,58.65,58.65,58.65,58.4332142857143
23/08/1900,58.42,58.42,58.42,58.42,58.2457142857143
24/08/1900,58.3,58.3,58.3,58.3,58.2557142857143
27/08/1900,58.22,58.22,58.22,58.22,58.2689285714286
28/08/1900,57.79,57.79,57.79,57.79,58.1428571428572
29/08/1900,58.43,58.43,58.43,58.43,58.2317857142857
30/08/1900,58.39,58.39,58.39,58.39,58.3235714285714
31/08/1900,57.81,57.81,57.81,57.81,58.3853571428571
04/09/1900,58.55,58.55,58.55,58.55,58.3921428571429
05/09/1900,58.58,58.58,58.58,58.58,58.3175
06/09/1900,58.5,58.5,58.5,58.5,58.2632142857143
07/09/1900,58.32,58.32,58.32,58.32,58.2567857142857
10/09/1900,58.07,58.07,58.07,58.07,58.2221428571429
11/09/1900,58.1,58.1,58.1,58.1,58.0175
12/09/1900,58.25,58.25,58.25,58.25,57.6525
13/09/1900,58.2,58.2,58.2,58.2,57.3428571428572
14/09/1900,57.47,57.47,57.47,57.47,56.8435714285714
17/09/1900,56.67,56.67,56.67,56.67,56.1164285714286
18/09/1900,56.63,56.63,56.63,56.63,55.5225
19/09/1900,55.63,55.63,55.63,55.63,54.7146428571429
20/09/1900,54.37,54.37,54.37,54.37,54.1364285714286
21/09/1900,54.37,54.37,54.37,54.37,53.7432142857143
24/09/1900,52.96,52.96,52.96,52.96,53.7921428571429
25/09/1900,53.13,53.13,53.13,53.13,53.8185714285714
26/09/1900,53.25,53.25,53.25,53.25,54.1032142857143
27/09/1900,54.53,54.53,54.53,54.53,54.2567857142857
28/09/1900,54.14,54.14,54.14,54.14,54.46
01/10/1900,54.96,54.96,54.96,54.96,54.7371428571429
02/10/1900,54.52,54.52,54.52,54.52,55.0396428571429
03/10/1900,54.74,54.74,54.74,54.74,55.1746428571429
04/10/1900,55.29,55.29,55.29,55.29,55.3117857142857
05/10/1900,55.7,55.7,55.7,55.7,55.2475
08/10/1900,55.38,55.38,55.38,55.38,55.2953571428571
09/10/1900,55.51,55.51,55.51,55.51,55.5014285714286
10/10/1900,54.9,54.9,54.9,54.9,56.1117857142857
11/10/1900,55.34,55.34,55.34,55.34,56.6089285714286
12/10/1900,56.09,56.09,56.09,56.09,57.0478571428571
15/10/1900,57.9,57.9,57.9,57.9,57.5396428571429
16/10/1900,57.82,57.82,57.82,57.82,57.9935714285714
17/10/1900,57.89,57.89,57.89,57.89,58.7857142857143
18/10/1900,58.46,58.46,58.46,58.46,59.4289285714286
19/10/1900,58.73,58.73,58.73,58.73,59.9042857142857
22/10/1900,60.63,60.63,60.63,60.63,60.2389285714286
23/10/1900,60.79,60.79,60.79,60.79,60.4378571428572
24/10/1900,60.79,60.79,60.79,60.79,60.2460714285714
25/10/1900,60.64,60.64,60.64,60.64,60.0789285714286
26/10/1900,60.5,60.5,60.5,60.5,59.7607142857143
29/10/1900,59.31,59.31,59.31,59.31,59.5342857142857
30/10/1900,59.53,59.53,59.53,59.53,59.4178571428572
31/10/1900,59.04,59.04,59.04,59.04,59.7214285714286
01/11/1900,59.18,59.18,59.18,59.18,60.5242857142857
02/11/1900,59.39,59.39,59.39,59.39,61.4564285714286
05/11/1900,60.87,60.87,60.87,60.87,62.5771428571429
07/11/1900,62.9,62.9,62.9,62.9,64.0421428571429
08/11/1900,63.76,63.76,63.76,63.76,64.8110714285714
09/11/1900,65.15,65.15,65.15,65.15,65.4710714285714
12/11/1900,67.33,67.33,67.33,67.33,66.0317857142857
13/11/1900,65.73,65.73,65.73,65.73,66.7253571428572
14/11/1900,66.23,66.23,66.23,66.23,67.4025
15/11/1900,66.81,66.81,66.81,66.81,67.9442857142857
16/11/1900,68.19,68.19,68.19,68.19,68.3210714285714
19/11/1900,68.88,68.88,68.88,68.88,68.4992857142857
20/11/1900,69.07,69.07,69.07,69.07,68.2092857142857
21/11/1900,68.97,68.97,68.97,68.97,67.9721428571429
22/11/1900,68.41,68.41,68.41,68.41,67.665
23/11/1900,66.92,66.92,66.92,66.92,67.295
26/11/1900,67.23,67.23,67.23,67.23,67.0067857142857
27/11/1900,67.01,67.01,67.01,67.01,66.7671428571429
28/11/1900,66.59,66.59,66.59,66.59,66.3657142857143
30/11/1900,66.59,66.59,66.59,66.59,66.2285714285714
03/12/1900,66.43,66.43,66.43,66.43,65.8775
04/12/1900,65.42,65.42,65.42,65.42,65.3785714285714
05/12/1900,66.05,66.05,66.05,66.05,65.1010714285714
06/12/1900,65.07,65.07,65.07,65.07,65.1153571428572
07/12/1900,64.17,64.17,64.17,64.17,65.1446428571429
10/12/1900,64.65,64.65,64.65,64.65,65.0689285714286
11/12/1900,65.54,65.54,65.54,65.54,65.1746428571429
12/12/1900,65.45,65.45,65.45,65.45,65.3385714285714
13/12/1900,64.89,64.89,64.89,64.89,65.685
14/12/1900,65.54,65.54,65.54,65.54,66.115
17/12/1900,65.7,65.7,65.7,65.7,66.5017857142857
18/12/1900,66.52,66.52,66.52,66.52,67.1353571428571
19/12/1900,67.19,67.19,67.19,67.19,68.2103571428571
20/12/1900,67.38,67.38,67.38,67.38,69.12
21/12/1900,68.63,68.63,68.63,68.63,69.5207142857143
26/12/1900,70.85,70.85,70.85,70.85,70.0053571428571
27/12/1900,71.04,71.04,71.04,71.04,70.2728571428571
28/12/1900,69.79,69.79,69.79,69.79,69.8067857142857
31/12/1900,70.71,70.71,70.71,70.71,69.6596428571429
02/01/1901,70.44,70.44,70.44,70.44,68.935
03/01/1901,67.97,67.97,67.97,67.97,68.4760714285714
04/01/1901,69.33,69.33,69.33,69.33,68.1082142857143
07/01/1901,67.12,67.12,67.12,67.12,67.9110714285714
08/01/1901,67.65,67.65,67.65,67.65,67.8046428571429
09/01/1901,67.53,67.53,67.53,67.53,67.6432142857143
10/01/1901,67.89,67.89,67.89,67.89,67.3171428571428
11/01/1901,67.85,67.85,67.85,67.85,66.8946428571429
14/01/1901,67.26,67.26,67.26,67.26,66.42
15/01/1901,66.5,66.5,66.5,66.5,66.0067857142857
16/01/1901,65.71,65.71,65.71,65.71,65.6039285714286
17/01/1901,65.3,65.3,65.3,65.3,65.4596428571429
18/01/1901,65.21,65.21,65.21,65.21,65.6082142857143
21/01/1901,64.92,64.92,64.92,64.92,65.6085714285714
22/01/1901,65.53,65.53,65.53,65.53,65.7667857142857
23/01/1901,66.37,66.37,66.37,66.37,65.9414285714286
24/01/1901,65.65,65.65,65.65,65.65,66.1482142857143
25/01/1901,66.16,66.16,66.16,66.16,66.3467857142857
28/01/1901,66.29,66.29,66.29,66.29,66.5035714285714
29/01/1901,66.56,66.56,66.56,66.56,66.8396428571429
30/01/1901,66.72,66.72,66.72,66.72,67.3153571428571
31/01/1901,66.81,66.81,66.81,66.81,67.8932142857143
01/02/1901,67.71,67.71,67.71,67.71,68.515
04/02/1901,68.46,68.46,68.46,68.46,68.8682142857143
05/02/1901,69.27,69.27,69.27,69.27,69.24
06/02/1901,69.89,69.89,69.89,69.89,69.6717857142857
07/02/1901,69.33,69.33,69.33,69.33,69.715
08/02/1901,69.8,69.8,69.8,69.8,69.9885714285714
11/02/1901,70.48,70.48,70.48,70.48,70.225
13/02/1901,69.45,69.45,69.45,69.45,69.9425
14/02/1901,70.62,70.62,70.62,70.62,69.5571428571429
15/02/1901,70.78,70.78,70.78,70.78,69.1035714285714
18/02/1901,68.92,68.92,68.92,68.92,68.8632142857143
19/02/1901,68.37,68.37,68.37,68.37,68.6217857142857
20/02/1901,67.96,67.96,67.96,67.96,68.195
21/02/1901,68.55,68.55,68.55,68.55,68.0721428571429
25/02/1901,68.27,68.27,68.27,68.27,67.7671428571429
26/02/1901,67.36,67.36,67.36,67.36,67.7207142857143
27/02/1901,68.11,68.11,68.11,68.11,67.6510714285714
28/02/1901,67,67,67,67,67.5375
01/03/1901,67.76,67.76,67.76,67.76,67.4767857142857
04/03/1901,67.58,67.58,67.58,67.58,67.53
05/03/1901,67.35,67.35,67.35,67.35,67.5278571428571
06/03/1901,67.39,67.39,67.39,67.39,67.5282142857143
07/03/1901,67.72,67.72,67.72,67.72,67.4614285714286
08/03/1901,67.55,67.55,67.55,67.55,67.3867857142857
11/03/1901,67.48,67.48,67.48,67.48,67.4164285714286
12/03/1901,67.28,67.28,67.28,67.28,67.3867857142857
13/03/1901,67.18,67.18,67.18,67.18,67.6317857142857
14/03/1901,67.54,67.54,67.54,67.54,67.9292857142857
15/03/1901,67.33,67.33,67.33,67.33,68.2071428571429
18/03/1901,68.42,68.42,68.42,68.42,68.4646428571429
19/03/1901,68.73,68.73,68.73,68.73,68.6607142857143
20/03/1901,68.82,68.82,68.82,68.82,68.7121428571429
21/03/1901,68.93,68.93,68.93,68.93,68.7085714285715
22/03/1901,68.92,68.92,68.92,68.92,68.85
25/03/1901,68.59,68.59,68.59,68.59,68.9910714285714
26/03/1901,68.52,68.52,68.52,68.52,69.1185714285714
27/03/1901,69.27,69.27,69.27,69.27,69.5942857142857
28/03/1901,69.39,69.39,69.39,69.39,70.0267857142857
29/03/1901,69.43,69.43,69.43,69.43,70.4667857142857
01/04/1901,70.91,70.91,70.91,70.91,70.9732142857143
02/04/1901,71.02,71.02,71.02,71.02,71.22
03/04/1901,71.35,71.35,71.35,71.35,71.6482142857143
04/04/1901,72.01,72.01,72.01,72.01,72.115
08/04/1901,71.47,71.47,71.47,71.47,72.3278571428571
09/04/1901,72.51,72.51,72.51,72.51,72.5446428571429
10/04/1901,73.11,73.11,73.11,73.11,73.3125
11/04/1901,72.62,72.62,72.62,72.62,73.955
12/04/1901,72.88,72.88,72.88,72.88,74.3407142857143
15/04/1901,75.35,75.35,75.35,75.35,74.6596428571429
16/04/1901,75.42,75.42,75.42,75.42,75.0835714285714
17/04/1901,74.88,74.88,74.88,74.88,75.0757142857143
18/04/1901,75.1,75.1,75.1,75.1,74.8085714285714
19/04/1901,75.89,75.89,75.89,75.89,74.3610714285714
22/04/1901,74.56,74.56,74.56,74.56,74.095
23/04/1901,73.8,73.8,73.8,73.8,74.0728571428572
24/04/1901,73.21,73.21,73.21,73.21,74.2896428571429
25/04/1901,73.63,73.63,73.63,73.63,74.6442857142857
26/04/1901,74.35,74.35,74.35,74.35,75.0346428571429
29/04/1901,75.23,75.23,75.23,75.23,75.1910714285714
30/04/1901,75.8,75.8,75.8,75.8,75.0928571428572
01/05/1901,75.93,75.93,75.93,75.93,75.2482142857143
02/05/1901,75.19,75.19,75.19,75.19,75.2025
03/05/1901,74.37,74.37,74.37,74.37,74.3078571428571
06/05/1901,75.55,75.55,75.55,75.55,72.4535714285714
07/05/1901,75.02,75.02,75.02,75.02,71.9725
08/05/1901,71.72,71.72,71.72,71.72,71.7060714285714
09/05/1901,67.38,67.38,67.38,67.38,70.9739285714286
10/05/1901,71.67,71.67,71.67,71.67,70.53
13/05/1901,71.92,71.92,71.92,71.92,70.4771428571429
14/05/1901,69.59,69.59,69.59,69.59,71.1360714285714
15/05/1901,70.06,70.06,70.06,70.06,71.6635714285714
16/05/1901,70.84,70.84,70.84,70.84,72.1689285714286
17/05/1901,73.09,73.09,73.09,73.09,72.6285714285714
20/05/1901,72.76,72.76,72.76,72.76,72.8614285714286
21/05/1901,73.44,73.44,73.44,73.44,73.2035714285714
