,[ 47.128225] ,[ 91.68385] ,[ 424.563875] ,[ 1122.970125] ,[ 2188.827375] 
,[ 49.11767056] ,[ 95.60824912] ,[ 433.74150368] ,[ 1142.8865208] ,[ 2192.3551584] 
,[ 54.952569] ,[ 107.124298] ,[ 460.301147] ,[ 1200.188805] ,[ 2205.634535] 
