,[ 133.87647025] ,[ 314.5235105] ,[ 683.56682075] ,[ 1307.27606125] ,[ 2565.91491375] 
,[ 123.50765956] ,[ 292.07633512] ,[ 643.76634668] ,[ 1238.4187458] ,[ 2562.2679414] 
,[ 133.33089961] ,[ 313.34410522] ,[ 681.48123683] ,[ 1303.66981605] ,[ 2565.57316215] 
