,[ 172.47024823] ,[ 350.47177891] ,[ 529.17921333] ,[ 653.79404799] ,[ 3584.96813581] 
,[ 174.63301566] ,[ 354.83161387] ,[ 535.74045464] ,[ 662.85107495] ,[ 3575.05699526] 
,[ 171.27929091] ,[ 348.0708846] ,[ 525.56598119] ,[ 648.8113773] ,[ 3590.53925408] 
