,[ 77.92475625] ,[ 465.9162625] ,[ 790.18631875] ,[ 1435.72518125] ,[ 2630.79034375] 
,[ 67.22032144] ,[ 430.83945488] ,[ 732.86214432] ,[ 1334.5223992] ,[ 2603.6591096] 
,[ 74.67725056] ,[ 455.37978512] ,[ 772.98921168] ,[ 1405.3889968] ,[ 2621.5331744] 
