,[ 117.96783769] ,[ 621.57978338] ,[ 1198.12231107] ,[ 1675.06454645] ,[ 3202.60509935] 
,[ 115.31538225] ,[ 613.4308245] ,[ 1184.09125675] ,[ 1654.35322125] ,[ 3194.47856375] 
,[ 113.70809956] ,[ 608.47694312] ,[ 1175.55496268] ,[ 1641.7612418] ,[ 3189.7316054] 
