
,XAU Curncy,,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,Centered Weighted Moving Average,
,06-30-17,1245.51,1248.29,1239.4000000000001,1241.6099999999999,1231.4099999999999,
,07-03-17,1241.8499999999999,1242.82,1218.26,1220.2,1228.6357142857141,
,07-04-17,1220.2,1226.5899999999999,1219.71,1223.42,1223.4553571428573,
,07-05-17,1223.68,1228.92,1217.54,1227.04,1220.0646428571429,
,07-06-17,1227.03,1229.3499999999999,1222.6300000000001,1225.22,1218.6264285714283,
,07-07-17,1225.23,1228.6199999999999,1207.43,1212.46,1218.7389285714285,
,07-10-17,1212.95,1215.72,1204.9000000000001,1214.3599999999999,1218.1078571428573,
,07-11-17,1214.3399999999999,1217.72,1208.29,1217.72,1220.4653571428571,
,07-12-17,1217.72,1225.8,1213.57,1220.51,1224.1160714285713,
,07-13-17,1220.51,1224.5,1216.6600000000001,1217.58,1229.5392857142856,
,07-14-17,1217.74,1232.95,1214.9000000000001,1228.7,1233.5857142857142,
,07-17-17,1229.1300000000001,1236.0999999999999,1228.3599999999999,1234.1099999999999,1237.4817857142857,
,07-18-17,1234.1099999999999,1244.6600000000001,1232.9100000000001,1242.47,1243.0442857142859,
,07-19-17,1242.47,1244.0899999999999,1236.05,1241.25,1247.4557142857141,
,07-20-17,1241.25,1247.6400000000001,1235.3699999999999,1244.49,1249.2099999999998,
,07-21-17,1244.55,1255.82,1243.46,1254.98,1252.8189285714286,
,07-24-17,1255.44,1258.9000000000001,1252.03,1255.3,1255.1392857142857,
,07-25-17,1255.3,1257.8900000000001,1249.19,1250.06,1259.4864285714284,
,07-26-17,1250.06,1263.57,1243.8699999999999,1260.53,1262.769642857143,
,07-27-17,1260.53,1265.3800000000001,1254.6099999999999,1259.1500000000001,1264.9917857142859,
,07-28-17,1259.1500000000001,1270.93,1257.48,1269.6400000000001,1266.1942857142858,
,07-31-17,1270.23,1271.23,1265.8499999999999,1269.44,1267.4789285714285,
,08-01-17,1269.44,1274.1600000000001,1262.6600000000001,1268.76,1265.6714285714286,
,08-02-17,1268.76,1272.92,1263,1266.6500000000001,1263.6653571428571,
,08-03-17,1266.6500000000001,1270.92,1257.02,1268.5999999999999,1262.4832142857144,
,08-04-17,1268.5999999999999,1270.33,1254.29,1258.8800000000001,1265.6960714285717,
,08-07-17,1258.83,1260,1255.8699999999999,1257.8499999999999,1270.9357142857141,
,08-08-17,1257.8499999999999,1265.31,1251.6099999999999,1260.96,1276.2357142857143,
,08-09-17,1260.96,1278.8499999999999,1260.53,1277.3,1278.9364285714285,
,08-10-17,1277.55,1287.92,1274.74,1286.53,1278.4982142857141,
,08-11-17,1286.53,1292.0999999999999,1281.5,1289.31,1280.5032142857142,
,08-14-17,1290.44,1290.44,1278.69,1282.1500000000001,1282.8660714285713,
,08-15-17,1282.1500000000001,1284.47,1267.3900000000001,1271.53,1283.2528571428572,
,08-16-17,1271.53,1283.94,1267.9000000000001,1283.1099999999999,1285.3332142857143,
,08-17-17,1283.1099999999999,1290.2,1281.83,1288.1500000000001,1285.5225000000003,
,08-18-17,1288.1500000000001,1300.92,1283.6400000000001,1284.1300000000001,1287.3328571428572,
,08-21-17,1283.93,1293.8499999999999,1280.7,1291.8800000000001,1287.6885714285713,
,08-22-17,1291.8800000000001,1292.6099999999999,1282.0999999999999,1285.08,1288.7507142857141,
,08-23-17,1285.08,1291.57,1282.8399999999999,1290.96,1294.2135714285712,
,08-24-17,1290.96,1291.31,1284.6199999999999,1286.4000000000001,1298.6664285714285,
,08-25-17,1286.4000000000001,1294.57,1276.3599999999999,1291.3499999999999,1302.0653571428572,
,08-28-17,1292.5999999999999,1312.08,1291.92,1310.1300000000001,1308.0746428571431,
,08-29-17,1310.33,1326.08,1305.1099999999999,1309.23,1313.7357142857143,
,08-30-17,1309.23,1313.78,1305.28,1308.5999999999999,1320.3328571428574,
,08-31-17,1308.5899999999999,1323.7,1298.46,1321.43,1326.694642857143,
,09-01-17,1321.43,1328.91,1316.52,1325.23,1329.9567857142858,
,09-04-17,1336.39,1339.81,1331.89,1333.87,1336.1085714285714,
,09-05-17,1335.27,1344.44,1326.27,1339.71,1340.1746428571425,
,09-06-17,1339.95,1342.55,1331.75,1334.22,1338.1214285714286,
,09-07-17,1334.31,1349.98,1332.61,1349.22,1336.9175,
,09-08-17,1349.22,1357.61,1342.88,1346.59,1333.1185714285714,
,09-11-17,1337.67,1340.01,1326.47,1327.54,1331.5728571428572,
,09-12-17,1327.54,1332.19,1322.71,1331.81,1327.9932142857144,
,09-13-17,1331.81,1337.18,1320.95,1322.37,1321.7299999999998,
,09-14-17,1323.21,1330.82,1315.8,1329.74,1317.8864285714287,
,09-15-17,1329.74,1334.42,1319.56,1320.18,1312.7960714285712,
,09-18-17,1319.64,1320.14,1304.71,1307.44,1306.1750000000004,
,09-19-17,1307.44,1311.8,1305.26,1311.15,1302.5292857142856,
,09-20-17,1311.15,1316.13,1296.1400000000001,1301.0999999999999,1303.1489285714285,
,09-21-17,1301.0899999999999,1301.75,1288.2,1291.2,1300.2457142857145,
,09-22-17,1291.2,1298.79,1289.79,1297.3,1295.4782142857143,
,09-25-17,1298.05,1312.21,1289.6199999999999,1310.78,1292.7214285714285,
,09-26-17,1310.79,1313.74,1292.33,1293.98,1288.9289285714283,
